months,events,death,injured
2012-1,1553,5,2056
2012-2,1456,8,1876
2012-3,1771,6,2335
2012-4,1396,1,1852
2012-5,1565,5,2062
2012-6,1417,7,1885
2012-7,1516,5,1968
2012-8,1345,5,1800
2012-9,1458,3,1985
2012-10,1632,9,2206
2012-11,1628,9,2134
2012-12,1622,9,2176
2013-1,1641,8,2197
2013-2,1261,2,1718
2013-3,1601,5,2138
2013-4,1560,8,2065
2013-5,1426,5,1856
2013-6,1467,5,1965
2013-7,1677,8,2263
2013-8,1709,9,2259
2013-9,1310,7,1800
2013-10,1807,3,2438
2013-11,1742,10,2315
2013-12,1670,9,2173
2014-1,1883,7,2499
2014-2,1334,3,1751
2014-3,1371,6,1806
2014-4,1638,5,2254
2014-5,1612,5,2134
2014-6,1585,8,2126
2014-7,1642,5,2176
2014-8,1607,10,2164
2014-9,1679,6,2224
2014-10,1696,3,2282
2014-11,1688,14,2268
2014-12,1974,9,2593
